place,Year,mentions,distinct_people,max_person_weighted_degree,mean_person_weighted_degree,max_person_betweenness,mean_person_betweenness,max_person_pagerank,mean_person_pagerank,place_total_activity,meeting_intensity_score,brokerage_intensity_score,pagerank_intensity_score,metric_mode
"Güglingen, Baden-Württemberg, Germany",1620,6,1,1067,1067.0,0.3760719225449516,0.3760719225449516,0.3568889248555853,0.3568889248555853,6,760.1461372885193,0.26791904336008643,0.2542528000656287,full
"Ingolstadt, Bavaria, Germany, (Holy Roman Empire)",1620,2,1,1067,1067.0,0.3760719225449516,0.3760719225449516,0.3568889248555853,0.3568889248555853,6,760.1461372885193,0.26791904336008643,0.2542528000656287,full
"Ulm, Baden-Württemberg, Germany",1627,33,3,1067,970.1515151515151,0.3760719225449516,0.34188356594995595,0.3568889248555853,0.32462008339968335,65,674.0630987734918,0.2375607792336052,0.2255011816891925,full
"Frankfurt am Main, Hesse, Germany",1630,1,1,1067,1067.0,0.3760719225449516,0.3760719225449516,0.3568889248555853,0.3568889248555853,8,673.202047060745,0.23727496541643053,0.22517184141151683,full
"Frankfurt am Main, Hesse, Germany",1627,1,1,1067,1067.0,0.3760719225449516,0.3760719225449516,0.3568889248555853,0.3568889248555853,8,673.202047060745,0.23727496541643053,0.22517184141151683,full
"Graz, Styria, Austria",1597,27,4,1067,948.7037037037037,0.3760719225449516,0.3342861533732903,0.3568889248555853,0.31753937527406434,153,644.0699798167699,0.22697795850584712,0.21549745672155246,full
"Görlitz, Saxony, Germany",1629,4,1,1067,1067.0,0.3760719225449516,0.3760719225449516,0.3568889248555853,0.3568889248555853,11,595.2642460195111,0.20980521970274468,0.1991032959389634,full
"Prague, Czech Republic",1606,43,5,1067,943.3255813953489,0.3760719225449516,0.3323426292257711,0.3568889248555853,0.31594694137895873,511,577.4018046830481,0.2034694501436116,0.19325060926183693,full
"Prague, Czech Republic",1604,42,4,1067,991.0952380952381,0.3760719225449516,0.3492096423631693,0.3568889248555853,0.3315927858388933,511,530.9721283652476,0.18711684914044865,0.17762278076418034,full
"Graz, Styria, Austria",1594,9,3,1067,830.3333333333334,0.3760719225449516,0.292500384201629,0.3568889248555853,0.27809968016129527,153,522.1932205406152,0.18400769115825627,0.17476462297629522,full
"Prague, Czech Republic",1605,47,4,1067,954.0212765957447,0.3760719225449516,0.3360642712103823,0.3568889248555853,0.3191102527309929,511,521.4073424991981,0.18372544840740665,0.17440238695100302,full
"Prague, Czech Republic",1601,22,5,1067,730.5454545454545,0.3760719225449516,0.25641267446246696,0.3568889248555853,0.24416924606390109,511,516.2875103713072,0.18166099617198994,0.17263475917543553,full
"Vienna, Wien, Austria",1624,10,4,1067,220.6,0.3760719225449516,0.07642461964038727,0.3568889248555853,0.07539287121315362,58,508.22641963654354,0.1786041453345534,0.17062521706280653,full
"Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",1596,27,2,1067,754.7037037037037,0.3760719225449516,0.2646432047538548,0.3568889248555853,0.2540435961061252,60,486.84200521038485,0.171228195182674,0.16326892949085783,full
"Linz, Upper Austria, Austria",1613,21,3,1067,966.4285714285714,0.3760719225449516,0.34025554896924187,0.3568889248555853,0.3231319332363889,340,483.3654610311279,0.17027790569228898,0.16164747569740565,full
"Regensburg, Bavaria, Germany",1613,6,1,1067,1067.0,0.3760719225449516,0.3760719225449516,0.3568889248555853,0.3568889248555853,21,478.53632088030594,0.16866361218467155,0.16006027466103073,full
"Regensburg, Bavaria, Germany",1625,1,1,1067,1067.0,0.3760719225449516,0.3760719225449516,0.3568889248555853,0.3568889248555853,21,478.53632088030594,0.16866361218467155,0.16006027466103073,full
"Regensburg, Bavaria, Germany",1621,5,1,1067,1067.0,0.3760719225449516,0.3760719225449516,0.3568889248555853,0.3568889248555853,21,478.53632088030594,0.16866361218467155,0.16006027466103073,full
"Regensburg, Bavaria, Germany",1617,1,1,1067,1067.0,0.3760719225449516,0.3760719225449516,0.3568889248555853,0.3568889248555853,21,478.53632088030594,0.16866361218467155,0.16006027466103073,full
