place,Year,mentions,distinct_people,max_person_weighted_degree,mean_person_weighted_degree,max_person_betweenness,mean_person_betweenness,max_person_pagerank,mean_person_pagerank,place_total_activity,meeting_intensity_score,brokerage_intensity_score,pagerank_intensity_score,metric_mode
"Strasbourg, Grand Est, France",1625,4,2,13.0,10.5,0.0004184100418410042,0.00033559972105997216,0.014212532457650728,0.011906165673987813,87,5.766237800161872,0.00018501274878854045,0.006408792530113678,kepler_removed
"Strasbourg, Grand Est, France",1620,4,2,13.0,9.75,0.0004184100418410042,0.00031380753138075313,0.014212532457650728,0.011474652364706675,87,5.58220893419926,0.00017966555951719535,0.006302911323507301,kepler_removed
"Tübingen, Baden-Württemberg, Germany",1627,10,2,13.0,11.7,0.00043584379358437936,0.0003922594142259414,0.015029559171341014,0.013852704462794362,184,5.198060139836383,0.0001742724808173876,0.006078208232584818,kepler_removed
"Tübingen, Baden-Württemberg, Germany",1596,24,7,8.0,5.083333333333333,0.0002615062761506276,0.00015254532775453277,0.021437105280613853,0.014463158474269528,184,5.211527288289713,0.0001649305400646013,0.014300270385888372,kepler_removed
"Strasbourg, Grand Est, France",1617,5,2,13.0,7.8,0.0004184100418410042,0.00025104602510460253,0.014212532457650728,0.009831924308940242,87,5.103733882696465,0.00016426565441572146,0.005899832148590415,kepler_removed
"Tübingen, Baden-Württemberg, Germany",1626,4,2,13.0,9.75,0.00043584379358437936,0.0003268828451882845,0.015029559171341014,0.012087422399974389,184,4.787686970901932,0.00016051412706864646,0.00570670854326042,kepler_removed
"Tübingen, Baden-Württemberg, Germany",1621,5,2,13.0,7.8,0.00043584379358437936,0.0002615062761506276,0.015029559171341014,0.009017735502804608,184,4.37731380196748,0.00014675577331990533,0.005060699753707535,kepler_removed
"Munich, Bavaria, Germany",1601,4,1,11.0,11.0,0.0004881450488145049,0.0004881450488145049,0.010453934490565937,0.010453934490565937,108,3.2505024899310944,0.0001442469724199167,0.003089140008287375,kepler_removed
"Munich, Bavaria, Germany",1609,6,1,11.0,11.0,0.0004881450488145049,0.0004881450488145049,0.010453934490565937,0.010453934490565938,108,3.2505024899310944,0.0001442469724199167,0.003089140008287375,kepler_removed
"Munich, Bavaria, Germany",1600,7,1,11.0,11.0,0.0004881450488145049,0.00048814504881450484,0.010453934490565937,0.010453934490565937,108,3.2505024899310944,0.0001442469724199167,0.003089140008287375,kepler_removed
"Munich, Bavaria, Germany",1604,4,1,11.0,11.0,0.0004881450488145049,0.0004881450488145049,0.010453934490565937,0.010453934490565937,108,3.2505024899310944,0.0001442469724199167,0.003089140008287375,kepler_removed
"Munich, Bavaria, Germany",1607,10,1,11.0,11.0,0.0004881450488145049,0.00048814504881450495,0.010453934490565937,0.010453934490565937,108,3.2505024899310944,0.0001442469724199167,0.003089140008287375,kepler_removed
