Year,place,activity
1615,"Wamberg, Bavaria, Germany",1
1616,"Linz, Upper Austria, Austria",27
1616,"Tübingen, Baden-Württemberg, Germany",7
1616,"Gdańsk, Pomeranian Voivodeship, Poland",3
1616,"Strasbourg, Grand Est, France",3
1616,"Venice, Veneto, Italy",2
1616,"Cologne, North Rhine-Westphalia, Germany",1
1616,"Dębno, West Pomerania, Poland",1
1616,"Eferding, Upper Austria, Austria",1
1616,"Frankfurt am Main, Hesse, Germany",1
1616,"Innsbruck, Tyrol, Austria, (Holy Roman Empire)",1
1616,"Leonberg, Baden-Württemberg, Germany",1
1616,"Osteel, Lower Saxony, Germany",1
1616,"Soběslav, Jihočeský, Czech Republic",1
1616,"Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",1
1616,"Vienna, Wien, Austria",1
1617,"Linz, Upper Austria, Austria",21
1617,"Prague, Czech Republic",9
1617,"Strasbourg, Grand Est, France",5
1617,"Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",4
1617,"Castle Leombach, Leombach, Upper Austria, Austria",3
1617,"Bologna, Emilia-Romagna, Italy",2
1617,"Tübingen, Baden-Württemberg, Germany",2
1617,"Bad Cannstatt, Baden-Württemberg, Germany",1
1617,"Eferding, Upper Austria, Austria",1
1617,"Frankfurt am Main, Hesse, Germany",1
1617,"Nürtingen, Baden-Württemberg, Germany",1
1617,"Regensburg, Bavaria, Germany",1
1617,"Rome, Latium, Italy",1
1617,"Ulm, Baden-Württemberg, Germany",1
1618,"Linz, Upper Austria, Austria",38
1618,"Vienna, Wien, Austria",13
1618,"Nürtingen, Baden-Württemberg, Germany",5
1618,"Tübingen, Baden-Württemberg, Germany",5
1618,"Antwerp, Flanders, Belgium",3
1618,"Graz, Styria, Austria",2
1618,"Ulm, Baden-Württemberg, Germany",2
1618,"Venice, Veneto, Italy",2
1618,"Eferding, Upper Austria, Austria",1
1618,"Giessen, Hesse, Germany",1
1618,"Hirschbach, Lower Austria, Austria",1
1618,"Rottenmann, Styria, Austria",1
1618,"Strasbourg, Grand Est, France",1
1619,"Linz, Upper Austria, Austria",36
1619,"Vienna, Wien, Austria",10
1619,"Tübingen, Baden-Württemberg, Germany",7
1619,"Venice, Veneto, Italy",5
1619,"Ulm, Baden-Württemberg, Germany",3
1619,"Castle Rastenberg, Rastenfeld, Lower Austria, Austria",2
1619,"Ingolstadt, Bavaria, Germany, (Holy Roman Empire)",2
1619,"Milan, Lombardy, Italy",2
1619,"Munich, Bavaria, Germany",2
1619,"Bad Teinach-Zavelstein, Baden-Württemberg, Germany",1
1619,"Castle Leombach, Leombach, Upper Austria, Austria",1
1619,"Gdańsk, Pomeranian Voivodeship, Poland",1
1619,"Innsbruck, Tyrol, Austria, (Holy Roman Empire)",1
1619,"Loschberg, Waldhausen, Lower Austria, Austria",1
1619,"Steyr, Upper Austria, Austria",1
1619,"Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",1
1620,"Linz, Upper Austria, Austria",31
1620,"Tübingen, Baden-Württemberg, Germany",10
1620,"Ulm, Baden-Württemberg, Germany",7
1620,"Güglingen, Baden-Württemberg, Germany",6
1620,"Strasbourg, Grand Est, France",4
1620,"Esslingen, Baden-Württemberg, Germany",3
1620,"Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",3
1620,"Vienna, Wien, Austria",3
1620,"Augsburg, Bavaria, Germany",2
1620,"Brno, South Moravia, Czech Republic",2
1620,"Ingolstadt, Bavaria, Germany, (Holy Roman Empire)",2
1620,"Nuremberg, Bavaria, Germany",2
1620,"Venice, Veneto, Italy",2
1620,"Castle Leombach, Leombach, Upper Austria, Austria",1
1620,"Gdańsk, Pomeranian Voivodeship, Poland",1
1620,"Graz, Styria, Austria",1
1620,"Horn, (West Frisia) Limburg, Netherlands",1
1620,"Leipzig, Saxony, Germany",1
1620,"Regensburg, Bavaria, Germany",1
1620,"Saverne, Grand Est, France",1
1620,"Wesenufer, Upper Austria, Austria",1
1621,"Strasbourg, Grand Est, France",7
1621,"Regensburg, Bavaria, Germany",5
1621,"Tübingen, Baden-Württemberg, Germany",5
1621,"Linz, Upper Austria, Austria",4
1621,"Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",3
1621,"Ulm, Baden-Württemberg, Germany",2
1621,"Frankfurt (Oder), Brandenburg, Germany",1
1621,"Geneva, Geneva, Switzerland",1
1621,"Ingolstadt, Bavaria, Germany, (Holy Roman Empire)",1
1621,"Passau, Lower Bavaria, Germany",1
1621,"Vicenza, Veneto, Italy",1
1622,"Linz, Upper Austria, Austria",15
1622,"Ulm, Baden-Württemberg, Germany",7
1622,"Leipzig, Saxony, Germany",4
1622,"Gdańsk, Pomeranian Voivodeship, Poland",2
1622,"Tübingen, Baden-Württemberg, Germany",2
1622,"Vienna, Wien, Austria",2
1622,"Dresden, Saxony, Germany",1
1622,"Regensburg, Bavaria, Germany",1
1622,"Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",1
1623,"Linz, Upper Austria, Austria",22
1623,"Gdańsk, Pomeranian Voivodeship, Poland",5
1623,"Tübingen, Baden-Württemberg, Germany",5
1623,"Strasbourg, Grand Est, France",3
1623,"Leipzig, Saxony, Germany",2
1623,"Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",2
1623,"Ulm, Baden-Württemberg, Germany",2
1623,"Wels, Upper Austria, Austria",2
1623,"Altdorf, Bavaria, Germany",1
1623,"Butzbach, Hesse, Germany, (Holy Roman Empire)",1
1623,"Castle Leombach, Leombach, Upper Austria, Austria",1
1623,"Graz, Styria, Austria",1
1623,"London, England, United Kingdom",1
1623,"Schloss Weidenholz, Weidenholz, Upper Austria, Austria",1
1623,"Vienna, Wien, Austria",1
1624,"Linz, Upper Austria, Austria",28
1624,"Vienna, Wien, Austria",10
1624,"Strasbourg, Grand Est, France",6
1624,"Tübingen, Baden-Württemberg, Germany",6
1624,"Gdańsk, Pomeranian Voivodeship, Poland",5
1624,"Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",2
1624,"Ulm, Baden-Württemberg, Germany",2
1624,"Berlin, Berlin, Germany",1
1624,"Butzbach, Hesse, Germany, (Holy Roman Empire)",1
1624,"Leipzig, Saxony, Germany",1
1624,"Schloss Weidenholz, Weidenholz, Upper Austria, Austria",1
1624,"Wittenberg, Saxony-Anhalt, Germany",1
1625,"Linz, Upper Austria, Austria",16
1625,"Strasbourg, Grand Est, France",4
1625,"Tübingen, Baden-Württemberg, Germany",4
1625,"Ulm, Baden-Württemberg, Germany",4
1625,"Stuttgart, Baden-Württemberg, (Swabian Imperial Circle) Germany, (Holy Roman Empire)",3
1625,"Vienna, Wien, Austria",3
1625,"Jičín, Královéhradecký kraj, Czech Republic",2
1625,"Prague, Czech Republic",2
1625,"Rosswälden, Baden-Württemberg, Germany",2
1625,"Butzbach, Hesse, Germany, (Holy Roman Empire)",1
1625,"Nuremberg, Bavaria, Germany",1
1625,"Oxford, Oxfordshire, England",1
1625,"Regensburg, Bavaria, Germany",1
1626,"Linz, Upper Austria, Austria",11
1626,"Tübingen, Baden-Württemberg, Germany",4
1626,"Vienna, Wien, Austria",2
1626,"Gdańsk, Pomeranian Voivodeship, Poland",1
1626,"Geneva, Geneva, Switzerland",1
1626,"Strasbourg, Grand Est, France",1
1627,"Ulm, Baden-Württemberg, Germany",33
1627,"Tübingen, Baden-Württemberg, Germany",10
1627,"Strasbourg, Grand Est, France",8
1627,"Dillingen an der Donau, Bavaria, Germany",4
1627,"Butzbach, Hesse, Germany, (Holy Roman Empire)",2
1627,"Prague, Czech Republic",2
1627,"Bellosguardo , Florence, Tuscany, Italy",1
1627,"Esslingen, Baden-Württemberg, Germany",1
1627,"Frankfurt am Main, Hesse, Germany",1
1627,"Linz, Upper Austria, Austria",1
1627,"Wiesensteig, Baden-Württemberg, Germany",1
1628,"Prague, Czech Republic",18
1628,"Strasbourg, Grand Est, France",12
1628,"Zagań, Lubusz, Poland",5
1628,"Tübingen, Baden-Württemberg, Germany",4
1628,"Vienna, Wien, Austria",4
1628,"Ulm, Baden-Württemberg, Germany",2
1628,"Linz, Upper Austria, Austria",1
1628,"Lubań, Lower Silesia, Poland",1
1628,"Mähringen, Baden-Württemberg, Germany",1
1628,"Regensburg, Bavaria, Germany",1
1628,"Rouffach, Grand Est, France",1
1629,"Zagań, Lubusz, Poland",16
1629,"Strasbourg, Grand Est, France",10
1629,"Leipzig, Saxony, Germany",5
1629,"Görlitz, Saxony, Germany",4
1629,"Güstrow, Mecklenburg-Vorpommern, Germany",3
1629,"Lubań, Lower Silesia, Poland",3
1629,"Jičín, Královéhradecký kraj, Czech Republic",2
1629,"Florence, Tuscany, Italy",1
1629,"Rouffach, Grand Est, France",1
1629,"Tübingen, Baden-Württemberg, Germany",1
1629,"Vienna, Wien, Austria",1
1630,"Zagań, Lubusz, Poland",16
1630,"Leipzig, Saxony, Germany",8
1630,"Strasbourg, Grand Est, France",7
1630,"Jičín, Královéhradecký kraj, Czech Republic",5
1630,"Halberstadt, Saxony-Anhalt, Germany",2
1630,"Paris, Île-de-France, France",2
1630,"Tübingen, Baden-Württemberg, Germany",2
1630,"Butzbach, Hesse, Germany, (Holy Roman Empire)",1
1630,"Frankfurt am Main, Hesse, Germany",1
1630,"Friedland, Lower Saxony, Germany",1
1630,"Geneva, Geneva, Switzerland",1
1630,"Linz, Upper Austria, Austria",1
1630,"Lubań, Lower Silesia, Poland",1
1630,"Mähringen, Baden-Württemberg, Germany",1
1631,"Regensburg, Bavaria, Germany",1
1631,"Tübingen, Baden-Württemberg, Germany",1
